Item Number,Item Description,U/M Type,U/M,Item Class,Item Type
716-13.11,Spray Thermo Pvmt Mrkng (60 Mil 12In Barrier Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-14.01,Profiled Thermo Pvmt Mrkng Audible (4In),L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-14.02,Profiled Thermo Pvmt Mrkng Audible (6In),L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-15.10,Preformed Permanent Tape (6In Line),L.F.,Linear Feet,Pavement Marking,Plastic-Preformed
716-15.11,Preformed Permanent Tape (8In Line),L.F.,Linear Feet,Pavement Marking,Plastic-Preformed
716-15.12,Preformed Permanent Tape (12In Line),L.F.,Linear Feet,Pavement Marking,Plastic-Preformed
716-15.20,Preformed Permanent Tape (24In Barrier Line),L.F.,Linear Feet,Pavement Marking,Plastic-Preformed
716-40.02,Polyurea Pavement Markings-Words-Symbols,EACH,Each,Pavement Marking,Plastic-Thermal
716-40.01,Polyurea Pavement Marking (6In Line),L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-40.03,Polyurea Pavement Marking (Stop Bar),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-40.41,Grooving For Recessed Pavement Marking (Dotted Line),L.F.,Linear Feet,Pavement Marking,Pavement Marking Misc.
716-40.42,Grooving For Recessed Pavement Marking (Solid),L.M.,Linear Mile,Pavement Marking,Pavement Marking Misc.
716-50.01,Roadway Cleaning For Pavement Marking,L.M.,Linear Mile,Pavement Marking,Pavement Marking Misc.
716-80.01,Protective Bollards,EACH,Each,Pavement Marking,Pavement Marking Misc.
